activity_id,activity_name,category,description,search_text
1,Coding Club,Technology,Build software projects and practice programming,coding programming python java software developer technology
2,UI/UX Design Club,Design,Design interfaces posters and digital experiences,design drawing graphics poster ui ux creative
3,Photography Club,Media,Learn photography and visual storytelling,photography camera media visual storytelling
4,Video Editing Club,Media,Create and edit short videos,video editing film media content
5,Public Speaking Club,Communication,Practice speeches presentations and communication,speaking communication presentation public speaking
6,Debate Club,Communication,Develop argumentation and discussion skills,debate communication speaking discussion
7,Student Hackathon Team,Technology,Work with teams to solve technical problems,coding programming hackathon software technology teamwork
8,Music Club,Music,Participate in music and performance activities,music singing guitar piano performance
9,Sports Club,Sports,Participate in team sports and fitness activities,sports football cricket basketball badminton fitness
10,Event Management Club,Leadership,Organize campus events and develop leadership skills,leadership organizing management event teamwork
11,Drama Club,Arts,Participate in acting theatre and stage activities,acting drama theatre performance arts
12,Entrepreneurship Club,Leadership,Explore startups business ideas and innovation,entrepreneurship startup business innovation leadership
13,Dance Club,Performing Arts,"Learn and practice dance styles, choreography and stage performance",dance dancing dancer choreography performing performance stage performing arts bharatanatyam kathak hip hop ballet
14,Creative Arts Club,Arts,Explore painting sketching crafts and other creative activities,art drawing painting sketching craft illustration creative
15,Wellness & Yoga Club,Wellness,Practice yoga breathing and healthy relaxation activities,yoga wellness fitness mindfulness relaxation wellbeing
16,Community Volunteering Club,Social Impact,Participate in volunteering and community service activities,volunteering volunteer community service social impact organizing
